vendor,item_name,size,category,material_class,unit,source_file,notes,price,price_basis
ASG,All-Sided Mirror,#2,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,416.5,50lb bag
ASG,All-Sided Mirror,#2,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,52.5,5lb bag
ASG,All-Sided Mirror,#3,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Amber Brown,#0,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Amber Brown,#0,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,36.4,10lb bag
ASG,Amber Brown,#0,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,5.19,1lb bag
ASG,Amber Brown,#0,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,78.25,25lb bag
ASG,Amber Brown,#0,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,130.5,50lb bag
ASG,Amber Brown,#0,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,20.8,5lb bag
ASG,Amber Brown,#00,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Amber Brown,#1,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Amber Brown,#1,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,36.4,10lb bag
ASG,Amber Brown,#1,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,5.19,1lb bag
ASG,Amber Brown,#1,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,78.25,25lb bag
ASG,Amber Brown,#1,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,130.5,50lb bag
ASG,Amber Brown,#1,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,20.8,5lb bag
ASG,Amber Brown,#2,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Amber Brown,#2,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,36.4,10lb bag
ASG,Amber Brown,#2,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,5.19,1lb bag
ASG,Amber Brown,#2,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,78.25,25lb bag
ASG,Amber Brown,#2,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,130.5,50lb bag
ASG,Amber Brown,#2,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,20.8,5lb bag
ASG,Amber Brown,#3,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Amber Brown,#3,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,36.4,10lb bag
ASG,Amber Brown,#3,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,5.19,1lb bag
ASG,Amber Brown,#3,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,78.25,25lb bag
ASG,Amber Brown,#3,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,130.5,50lb bag
ASG,Amber Brown,#3,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,20.8,5lb bag
ASG,Azure Mist,#1,glass,bean_pebble,,ASG Retail Price List JAN-22.pdf,,,
ASG,Azure Mist,#2,glass,bean_pebble,,ASG Retail Price List JAN-22.pdf,,,
ASG,Azure Mist,#3,glass,bean_pebble,,ASG Retail Price List JAN-22.pdf,,,
ASG,Azure Mist,Medium,glass,bean_pebble,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black,#0,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black,#0,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,36.4,10lb bag
ASG,Black,#0,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,5.19,1lb bag
ASG,Black,#0,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,78.25,25lb bag
ASG,Black,#0,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,130.5,50lb bag
ASG,Black,#0,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,20.8,5lb bag
ASG,Black,#00,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black,#1,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black,#1,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,36.4,10lb bag
ASG,Black,#1,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,5.19,1lb bag
ASG,Black,#1,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,78.25,25lb bag
ASG,Black,#1,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,130.5,50lb bag
ASG,Black,#1,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,20.8,5lb bag
ASG,Black,#2,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black,#2,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,36.4,10lb bag
ASG,Black,#2,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,5.19,1lb bag
ASG,Black,#2,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,78.25,25lb bag
ASG,Black,#2,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,130.5,50lb bag
ASG,Black,#2,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,20.8,5lb bag
ASG,Black,#3,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black,#3,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,36.4,10lb bag
ASG,Black,#3,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,5.19,1lb bag
ASG,Black,#3,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,78.25,25lb bag
ASG,Black,#3,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,130.5,50lb bag
ASG,Black,#3,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,20.8,5lb bag
ASG,Black,Large,glass,tumbled_landscape,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black,Medium,glass,tumbled_landscape,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black,Small,glass,tumbled_landscape,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black Frosted,Medium,glass,frosted_glass,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black Licorice,#1,glass,bean_pebble,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black Licorice,#2,glass,bean_pebble,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black Licorice,#3,glass,bean_pebble,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black Licorice,Medium,glass,bean_pebble,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black Licorice Iridescent,#1,glass,bean_pebble_iridescent,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black Licorice Iridescent,#2,glass,bean_pebble_iridescent,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black Licorice Iridescent,#3,glass,bean_pebble_iridescent,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black Licorice Iridescent,Medium,glass,bean_pebble_iridescent,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black Reflective,#2,mirror,tempered_reflective,,ASG Retail Price List JAN-22.pdf,,,
ASG,Black Reflective,Medium,mirror,tempered_reflective,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blue,Large,glass,tumbled_landscape,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blue,Medium,glass,tumbled_landscape,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blue,Small,glass,tumbled_landscape,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blue Raspberry,#1,glass,bean_pebble,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blue Raspberry,#2,glass,bean_pebble,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blue Raspberry,#3,glass,bean_pebble,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blue Raspberry,Medium,glass,bean_pebble,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blue Raspberry Iridescent,#1,glass,bean_pebble_iridescent,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blue Raspberry Iridescent,#2,glass,bean_pebble_iridescent,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blue Raspberry Iridescent,#3,glass,bean_pebble_iridescent,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blue Raspberry Iridescent,Medium,glass,bean_pebble_iridescent,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blue Reflective,#2,mirror,tempered_reflective,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blue Reflective,Medium,mirror,tempered_reflective,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blueberry,#1,glass,bean_pebble,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blueberry,#2,glass,bean_pebble,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blueberry,#3,glass,bean_pebble,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blueberry,Medium,glass,bean_pebble,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blueberry Iridescent,#1,glass,bean_pebble_iridescent,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blueberry Iridescent,#2,glass,bean_pebble_iridescent,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blueberry Iridescent,#3,glass,bean_pebble_iridescent,,ASG Retail Price List JAN-22.pdf,,,
ASG,Blueberry Iridescent,Medium,glass,bean_pebble_iridescent,,ASG Retail Price List JAN-22.pdf,,,
ASG,Bronze Reflective,#2,mirror,tempered_reflective,,ASG Retail Price List JAN-22.pdf,,,
ASG,Bronze Reflective,Medium,mirror,tempered_reflective,,ASG Retail Price List JAN-22.pdf,,,
ASG,Caribbean Mix,Large,glass,tumbled_landscape,,ASG Retail Price List JAN-22.pdf,,,
ASG,Caribbean Mix,Medium,glass,tumbled_landscape,,ASG Retail Price List JAN-22.pdf,,,
ASG,Caribbean Mix,Small,glass,tumbled_landscape,,ASG Retail Price List JAN-22.pdf,,,
ASG,Chunky Orange,#0,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Chunky Orange,#0,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,53.4,10lb bag
ASG,Chunky Orange,#0,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,6.88,1lb bag
ASG,Chunky Orange,#0,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,123.25,25lb bag
ASG,Chunky Orange,#0,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,215.5,50lb bag
ASG,Chunky Orange,#0,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,30.8,5lb bag
ASG,Chunky Orange,#00,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Chunky Orange,#1,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Chunky Orange,#1,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,53.4,10lb bag
ASG,Chunky Orange,#1,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,6.88,1lb bag
ASG,Chunky Orange,#1,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,123.25,25lb bag
ASG,Chunky Orange,#1,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,215.5,50lb bag
ASG,Chunky Orange,#1,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,30.8,5lb bag
ASG,Chunky Orange,#2,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Chunky Orange,#2,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,53.4,10lb bag
ASG,Chunky Orange,#2,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,6.88,1lb bag
ASG,Chunky Orange,#2,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,123.25,25lb bag
ASG,Chunky Orange,#2,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,215.5,50lb bag
ASG,Chunky Orange,#2,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,30.8,5lb bag
ASG,Chunky Orange,#3,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Chunky Orange,#3,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,53.4,10lb bag
ASG,Chunky Orange,#3,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,6.88,1lb bag
ASG,Chunky Orange,#3,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,123.25,25lb bag
ASG,Chunky Orange,#3,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,215.5,50lb bag
ASG,Chunky Orange,#3,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,30.8,5lb bag
ASG,Chunky Red,#0,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Chunky Red,#0,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,53.4,10lb bag
ASG,Chunky Red,#0,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,6.88,1lb bag
ASG,Chunky Red,#0,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,123.25,25lb bag
ASG,Chunky Red,#0,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,215.5,50lb bag
ASG,Chunky Red,#0,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,30.8,5lb bag
ASG,Chunky Red,#00,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Chunky Red,#1,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Chunky Red,#1,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,53.4,10lb bag
ASG,Chunky Red,#1,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,6.88,1lb bag
ASG,Chunky Red,#1,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,123.25,25lb bag
ASG,Chunky Red,#1,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,215.5,50lb bag
ASG,Chunky Red,#1,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,30.8,5lb bag
ASG,Chunky Red,#2,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Chunky Red,#2,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,53.4,10lb bag
ASG,Chunky Red,#2,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,6.88,1lb bag
ASG,Chunky Red,#2,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,123.25,25lb bag
ASG,Chunky Red,#2,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,215.5,50lb bag
ASG,Chunky Red,#2,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,30.8,5lb bag
ASG,Chunky Red,#3,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Chunky Red,#3,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,53.4,10lb bag
ASG,Chunky Red,#3,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,6.88,1lb bag
ASG,Chunky Red,#3,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,123.25,25lb bag
ASG,Chunky Red,#3,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,215.5,50lb bag
ASG,Chunky Red,#3,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,30.8,5lb bag
ASG,Chunky Yellow,#0,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Chunky Yellow,#0,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,53.4,10lb bag
ASG,Chunky Yellow,#0,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,6.88,1lb bag
ASG,Chunky Yellow,#0,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,123.25,25lb bag
ASG,Chunky Yellow,#0,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,215.5,50lb bag
ASG,Chunky Yellow,#0,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,30.8,5lb bag
ASG,Chunky Yellow,#00,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Chunky Yellow,#1,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Chunky Yellow,#1,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,53.4,10lb bag
ASG,Chunky Yellow,#1,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,6.88,1lb bag
ASG,Chunky Yellow,#1,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,123.25,25lb bag
ASG,Chunky Yellow,#1,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,215.5,50lb bag
ASG,Chunky Yellow,#1,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,30.8,5lb bag
ASG,Chunky Yellow,#2,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Chunky Yellow,#2,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,53.4,10lb bag
ASG,Chunky Yellow,#2,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,6.88,1lb bag
ASG,Chunky Yellow,#2,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,123.25,25lb bag
ASG,Chunky Yellow,#2,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,215.5,50lb bag
ASG,Chunky Yellow,#2,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,30.8,5lb bag
ASG,Chunky Yellow,#3,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,Chunky Yellow,#3,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,53.4,10lb bag
ASG,Chunky Yellow,#3,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,6.88,1lb bag
ASG,Chunky Yellow,#3,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,123.25,25lb bag
ASG,Chunky Yellow,#3,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,215.5,50lb bag
ASG,Chunky Yellow,#3,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,30.8,5lb bag
ASG,Clear Frosted,Medium,glass,frosted_glass,,ASG Retail Price List JAN-22.pdf,,,
ASG,Clear Plate,#0,glass,silica_sand_substitute,,ASG Retail Price List JAN-22.pdf,,,
ASG,Clear Plate,#0,glass,silica_sand_substitute,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,14.8,10lb bag
ASG,Clear Plate,#0,glass,silica_sand_substitute,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,3.65,1lb bag
ASG,Clear Plate,#0,glass,silica_sand_substitute,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,30.75,25lb bag
ASG,Clear Plate,#0,glass,silica_sand_substitute,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,48.5,50lb bag
ASG,Clear Plate,#0,glass,silica_sand_substitute,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,9.45,5lb bag
ASG,Clear Plate,#00,glass,silica_sand_substitute,,ASG Retail Price List JAN-22.pdf,,,
